"Document Title",Authors,"Author Affiliations","Publication Title","Date Added To Xplore","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI","Funding Information","PDF Link","Author Keywords","IEEE Terms","Mesh_Terms","Article Citation Count","Patent Citation Count","Reference Count","License","Online Date","Issue Date","Meeting Date","Publisher","Document Identifier"
"Multi-temporal burned area mapping using logistic regression analysis and change metrics","R. H. Fraser; R. Fernandes; R. Latifovic","Canada Centre for Remote Sensing, Natural Resources Canada, Ottawa, ONT, Canada; Canada Centre for Remote Sensing, Natural Resources Canada, Ottawa, ONT, Canada; Canada Centre for Remote Sensing, Natural Resources Canada, Ottawa, ONT, Canada",IEEE International Geoscience and Remote Sensing Symposium,"7 Nov 2002","2002","3","","1486","1488 vol.3","Describes a procedure developed for continental-scale mapping of burned boreal forest at 10-day intervals. The basis of the technique is a multiple logistic regression model applied to 1 km SPOT VEGETATION (VGT) clear-sky composites. Independent variables consist of multitemporal change metrics representing 10-day and surrounding 30-day changes in reflectance and in two vegetation indices. The metrics account for seasonal phenological variation by normalizing them to the reflectance trajectory of background vegetation. Three spatial-contextual tests are applied to the per-pixel logistic model output to remove false burned pixels and increase the sensitivity of detection. The procedure was tested over Canada using conventional fire surveys and burned area statistics from the 1998-2000 fire seasons. The area of falsely mapped burns was small (2% commission error over two provinces), and most burns larger than 10 km/sup 2/ were accurately detected and mapped (R/sup 2/=0.90, P<0.005, n=91). National-level VGT burned areas for 1998-2000 were within 3-17% of fire management agency burned area compiled by the Canadian Interagency Forest Fire Centre (CIFFC).","","0-7803-7536-X","10.1109/IGARSS.2002.1026157","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1026157","","Logistics;Regression analysis;Reflectivity;Fires;Vegetation mapping;Remote sensing;Testing;Carbon dioxide;Statistical analysis;Biomass","","1","","3","IEEE","7 Nov 2002","","","IEEE","IEEE Conferences"
"Travelling wave fault location in rural radial distribution networks to reduce wild fire risk","A. T. Jahromi; P. Wolfs; S. Islam","Department of Electrical and Computer Engineering, Curtin University of Technology, Perth, Australia; School of Engineering and Technology, Central Queensland University, Rockhampton, Australia; Department of Electrical and Computer Engineering, Curtin University of Technology, Perth, Australia",2015 Australasian Universities Power Engineering Conference (AUPEC),"12 Nov 2015","2015","","","1","6","This paper introduces a new fault location algorithm for radial MV distribution networks employing distributed travelling wave observers. Incipient fault location may reduce the risk of wild or bush fire ignition by faulty MV overhead lines. Some faults can develop over time and may exist for an extended period before the right weather conditions result in a fire. Developing faults will produce travelling voltage waves. The distributed observers are synchronized by global positioning system and use the arrival time differences to locate faults. Modal and wavelet transformation is used to detect and time stamp the travelling wave arrival time by observers. The paper first provides a brief review of fault location technology then describes the Floyd-Warshell algorithm to calculate point to point distance matrix. A travelling wave detection methods and finally the fault location algorithm will be described. Simulation model is developed in EMTP-RV software to illustrate the performance of proposed algorithm based on real network data.","","978-1-4799-8725-2","10.1109/AUPEC.2015.7324833","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7324833","Fault location;distributed observer;travelling wave;MV distribution;wide-area synchronized;wild fire;bush fire","Observers;Fault location;Fires;Accuracy;Power cables;Discrete wavelet transforms","","9","","18","IEEE","12 Nov 2015","","","IEEE","IEEE Conferences"
"Notice of Retraction: Tourist Aesthetic Assessment and Conserved Management Mode of Natural Heritage Sites: A Case Study in the Kanas Nature Reserve, Xinjiang, China","F. Di; Z. Yang","Chinese Academy and Sciences, Beijing, China; Xinjiang Institute of Ecology and Geography, Chinese Academy and Sciences, Urumqi, China",2009 International Conference on Management and Service Science,"30 Oct 2009","2009","","","1","5","Retracted.","","978-1-4244-4638-4","10.1109/ICMSS.2009.5303779","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5303779","","","","3","","13","IEEE","30 Oct 2009","","","IEEE","IEEE Conferences"
"Some issues in modelling comprehensive situation awareness","L. Motus; M. Teichmann; T. Kangilaski; J. Priisalu; J. Kaugerand","Department of Software Science, Ehitajate tee 5, Tallinn University of Technology, Tallinn, Estonia; Department of Software Science, Tallinn University of Technology; Department of Software Science, Tallinn University of Technology; Department of Software Science, Tallinn University of Technology; Department of Software Science, Tallinn University of Technology","2019 IEEE International Conference on Systems, Man and Cybernetics (SMC)","28 Nov 2019","2019","","","540","545","This paper discusses some issues confronted in the design process of a system creating comprehensive situation awareness for a small country. We strive to merge the experience obtained in modelling and analyzing cyber-physical-social systems and the results published on situation awareness. For that, we develop a reasonably simple and efficient monitoring framework that enables to capture and analyze heterogeneous dynamic phenomena in a country. The final goal is to build a model for comprehensive situation awareness, which merges information from a feasible set of interoperable models, describing operation of country’s major institutions; and provides situational information for decision-makers at all required levels.","2577-1655","978-1-7281-4569-3","10.1109/SMC.2019.8914360","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8914360","","Tools;Computational modeling;Stakeholders;Biological system modeling;Complex systems;Computer architecture;Analytical models","","","","26","IEEE","28 Nov 2019","","","IEEE","IEEE Conferences"
"Assessing the Causes of Tropical Forest Degradation Using Landsat Time Series: A Case Study in the Brazilian Amazon","J. Betbeder; D. Arvor; L. Blanc; G. Cornu; C. Bourgoin; R. Le Roux; A. Mercier; P. Sist; M. Lucas; C. Brenez; H. Dessard; I. Tritsch; V. Gond","CIRAD, Forêts et Sociétés, Montpellier, France; CNRS, UMR LETG 6554, Université Rennes 2, Rennes, France; CIRAD, Forêts et Sociétés, Montpellier, France; CIRAD, Forêts et Sociétés, Montpellier, France; CIRAD, Forêts et Sociétés, Montpellier, France; CIRAD, Forêts et Sociétés, Montpellier, France; CIRAD, Forêts et Sociétés, Montpellier, France; CIRAD, Forêts et Sociétés, Montpellier, France; Embrapa Amazônia Oriental, Trav. Dr. Enéas Pinheiro, Bairro Marco, Pará, Brazil; Ecosystem Modeling Laboratory, Climate Action unit, Tropical Agricultural Research and Higher Education Center (CATIE), Turrialba, Cartago, Costa Rica; CIRAD, Forêts et Sociétés, Montpellier, France; CIRAD, Forêts et Sociétés, Montpellier, France; CIRAD, Forêts et Sociétés, Montpellier, France",2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,"12 Oct 2021","2021","","","1015","1018","Monitoring forest degradation at fine scale over large area is critical from an environmental point of view since it provides crucial information for many ecological applications. We introduce an automatic method based on optical Landsat time series (2000–2017) to detect and quantify forest disturbances and to identify the causes of forest degradation. The method is based on i) an automatic spectral unmixing to detect forest's disturbances and on ii) landscape metrics and temporal indicators to detect the causes of forest degradation. We applied the approach in the Brazilian Amazon municipality of Paragominas to map forested areas affected by reduced impact logging, conventional logging or illegal logging and fires.","2153-7003","978-1-6654-0369-6","10.1109/IGARSS47720.2021.9554272","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9554272","forest disturbances;remote sensing;illegal logging;conventional logging;Landsat imagery;landscape metrics","Degradation;Earth;Measurement;Artificial satellites;Time series analysis;Training data;Forestry","","1","","20","IEEE","12 Oct 2021","","","IEEE","IEEE Conferences"
"Fake News Detection Using Natural Language Processing and Logistic Regression","A. Shete; H. Soni; Z. Sajnani; A. Shete","Department of Electronics and Telecommunication Engineering, Thadomal Shahani Engineering College, Mumbai, India; Department of Electronics and Telecommunication Engineering, Thadomal Shahani Engineering College, Mumbai, India; Department of Electronics and Telecommunication Engineering, Thadomal Shahani Engineering College, Mumbai, India; Department of Information Management, University of Washington","2021 2nd International Conference on Advances in Computing, Communication, Embedded and Secure Systems (ACCESS)","20 Oct 2021","2021","","","136","140","Newspapers and radios are the things of the past, the current generation depends on the internet, specifically social media platforms to stay up to date with the global news. The ease of access, affordability and widespread audience has made these platforms a perfect choice to reach the world. While this has sped up and streamlined news consumption, it is not without drawbacks. The major issue is the proliferation of false/fake news which can have serious repercussions in sensitive matters. Understanding the difference and authenticity of the news is becoming complicated everyday. Social media platforms and online newsletters are responsible for the spread of fake news. However, this problem can be tackled using machine learning techniques and give verifiable news. The paper identifies counterfeit news using Logistic Regression. This model successfully labels a said article as “fake” or “real” with up to 80% accuracy. The paper ends with a review of the model's feasibility and how it would be useful as an impactful mining method as well as proposes the scope of future improvements in the model which will help achieve greater accuracy in the prediction results.","","978-1-7281-7136-4","10.1109/ACCESS51619.2021.9563292","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9563292","Fake News;Natural Language Processing;Linear Regression","Social networking (online);Computational modeling;Machine learning;Predictive models;Natural language processing;Logistics","","12","","21","IEEE","20 Oct 2021","","","IEEE","IEEE Conferences"
"Developing a Disaster-Ready Power Grid Agent Through Geophysically-Informed Fault Event Scenarios","J. B. Arnheim; T. Mortlock; H. Fathima; P. Pataranutaporn; N. Ahmed; A. Tbaileh; T. Parhizkar","University of California, Irvine, Irvine, CA, USA; University of California, Irvine, Irvine, CA, USA; Morgan State University, Baltimore, MD, USA; Massachusetts Institute of Technology, Boston, MA, USA; University of California, Irvine, Irvine, CA, USA; Pacific Northwest National Laboratory, Seattle, WA, USA; University of California, Los Angeles, Los Angeles, CA, USA",2023 IEEE Power & Energy Society General Meeting (PESGM),"25 Sep 2023","2023","","","1","5","Management of the nation’s power grid over the coming decades will need to consider multiple climate-driven threats to the power system that can be stressful or even detrimental to its operations. During disasters, grid operators suffer from cognitive overload where the electric grid is severely impacted by the weather, yet grid operators have limited awareness of these factors. Meanwhile, the electric grid is facing an explosion of data coming from a variety of sources which can enable the operator to evaluate the risks and develop mitigation strategies against hazardous events. In this work, we processed heterogeneous environmental and power grid data to learn and model grid behaviour caused by extreme weather events. In this study, we focused on two weather-driven hazards, hurricanes and wildfires, which were analysed for the electric grid of Texas. We then used this data to train a Reinforcement Learning (RL) agent by analysing and predicting future behaviour of the grid during those hazard events. All these parts are incorporated in one framework to have a geophysically informed power simulators that can be used to train RL agents.","1944-9933","978-1-6654-6441-3","10.1109/PESGM52003.2023.10252367","National Aeronautics and Space Administration; U.S. Geological Survey; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10252367","electric grid;reinforcement learning;climate adaptation;energy equity","Process control;Fires;Reinforcement learning;Power grids;Hurricanes;Explosions;Time factors","","","","16","IEEE","25 Sep 2023","","","IEEE","IEEE Conferences"
"Towards Software Engineering Perspective for BDI Agent","S. Y. Wai; W. S. Cheah; S. K. Wai; M. A. Khairuddin","Faculty of Computing and Engineering Quest International University, Ipoh, Malaysia; Faculty of Computer Science & Information Technology University Malaysia Sarawak, Kota Samarahan, Malaysia; Faculty of Computer Science & Information Technology University Malaysia Sarawak, Kota Samarahan, Malaysia; Faculty of Computer Science & Information Technology University Malaysia Sarawak, Kota Samarahan, Malaysia","2021 4th International Symposium on Agents, Multi-Agent Systems and Robotics (ISAMSR)","26 Oct 2021","2021","","","106","110","BDI agent is a cognitive architecture to model human reasoning based on a philosophical stream. Based on the survey, the BDI agent is widely adopted in agent based social simulation to model a complex and realistic human behaviour. To support BDI agent development, Prometheus and tactic development framework (extended Prometheus are introduced. Although Prometheus and TDF are introduced to model BDI agent, the modelling and simulating BDI agent is not a straightforward process. As simulation is one of the pillars in IR4.0, it is undoubtedly that there will be a higher demand and usage of agent simulation in real world problem. Hence, there is a need to call for software engineering perspective for BDI agent. Inline with the works on Software Engineering for AI application development, this paper introduces an alternative method to model BDI agent through a software engineering perspective. The requirement model, design and implementation of BDI based on software engineering approach are covered in this paper. A walkthrough example of BDI based a bush fire evacuation simulation has revealed the potential usage of the method.","","978-1-6654-3632-8","10.1109/ISAMSR53229.2021.9567829","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9567829","Software Enginnering for AI application development;BDI agent;agent models","Costs;Computer architecture;Reliability engineering;Software;Software reliability;Artificial intelligence;Robots","","2","","21","IEEE","26 Oct 2021","","","IEEE","IEEE Conferences"
"Remote sensing applications for operational decision making at local scales: current status and future opportunities for agriculture and disaster management applications","S. Kalluri; R. Plante; M. Mohamed; R. Bergman; K. Carr","Raytheon Company, Upper Marlboro, MD, USA; Raytheon Company, Upper Marlboro, MD, USA; Raytheon Company, Upper Marlboro, MD, USA; Raytheon Company, Upper Marlboro, MD, USA; Raytheon Company, Upper Marlboro, MD, USA",IGARSS 2001. Scanning the Present and Resolving the Future. Proceedings. IEEE 2001 International Geoscience and Remote Sensing Symposium (Cat. No.01CH37217),"6 Aug 2002","2001","2","","840","842 vol.2","Remote sensing data sets have found wide spread use in a variety of real world applications. Among the numerous applications, products related to agriculture and disaster mitigation are particularly of interest because of the requirements for timely delivery of data. This article reviews the current capabilities of existing sensors for these applications, and discusses ways to improve the timely delivery of data to the users of NASA's Earth Observing System's Data and Information System.","","0-7803-7031-7","10.1109/IGARSS.2001.976654","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=976654","","Remote sensing;Decision making;Crops;Vegetation mapping;Agriculture;Earth Observing System;Spatial resolution;Satellite broadcasting;Instruments;Image resolution","","2","","13","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Secure, Autonomous, Intelligent Controller for Integrating Distributed Emergency Response Satellite Operations","W. D. Ivancic; P. E. Paulsen; E. M. Miller; S. P. Sage","NASA Glenn Research Center, USA; NASA Glenn Research Center, USA; General Dynamics-Advanced Information Systems, USA; General Dynamics-Advanced Information Systems, USA",2013 IEEE Aerospace Conference,"13 May 2013","2013","","","1","12","This report describes a Secure, Autonomous, and Intelligent Controller for Integrating Distributed Emergency Response Satellite Operations. It includes a description of current improvements to existing Virtual Mission Operations Center technology being used by US Department of Defense and originally developed under NASA funding. The report also highlights a technology demonstration performed in partnership with the United States Geological Service for Earth Resources Observation and Science using DigitalGlobe® satellites to obtain space-based sensor data.","1095-323X","978-1-4673-1813-6","10.1109/AERO.2013.6496888","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6496888","","Satellites;NASA;US Department of Defense;Monitoring;Internet;Schedules","","2","1","8","IEEE","13 May 2013","","","IEEE","IEEE Conferences"
"Power Grid Resilience under Wildfire: A Review on Challenges and Solutions","H. Nazaripouya","Winston Chung Global Energy Research Center, University of California, Riverside, CA, USA",2020 IEEE Power & Energy Society General Meeting (PESGM),"16 Dec 2020","2020","","","1","5","This paper studies the potential impacts of wildfires on the electric power grid, and explores the challenges and solutions for reducing the intensity, duration and impact of this unfavorable event on the grid. To this end, the paper overviews the efforts toward impact analysis and risk evaluation of wildfire and forecasting models to estimate the wildfire damages. Then the solutions to improve different aspects of grid resilience including robustness, resourcefulness, rapid recovery and adaptability are discussed. The mitigation solutions are categorized in four groups including situational awareness, preventive activities, corrective responses, and restorative actions. The state-of-the-art methodologies and algorithms in each category are presented. Challenges and future research opportunities are also discussed in the paper.","1944-9933","978-1-7281-5508-1","10.1109/PESGM41954.2020.9281708","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9281708","Black start;distributed generation (DG);grid resilience;hardening;impact analysis;network recontiguration;restoration;situational awareness;wildfire","Storms;Power system dynamics;Fires;Predictive models;Power grids;Robustness;Resilience","","27","","40","IEEE","16 Dec 2020","","","IEEE","IEEE Conferences"
"Forest Disaster Detection Method Based on Ensemble Spatial–Spectral Genetic Algorithm","Y. Cao; W. Feng; Y. Quan; W. Bao; G. Dauphin; A. Ren; X. Yuan; M. Xing","Department of Remote Sensing Science and Technology, School of Electronic Engineering, Xidian University, Xi'an, China; Department of Remote Sensing Science and Technology, School of Electronic Engineering, Xidian University, Xi'an, China; Department of Remote Sensing Science and Technology, School of Electronic Engineering, Xidian University, Xi'an, China; School of Computer Science and Engineering, North Minzu University, Yinchuan, China; Laboratory of Information Processing and Transmission, Institut Galilée, University Paris XIII, Paris, France; Department of Remote Sensing Science and Technology, School of Electronic Engineering, Xidian University, Xi'an, China; Department of Remote Sensing Science and Technology, School of Electronic Engineering, Xidian University, Xi'an, China; Academy of Advanced Interdisciplinary Research, Xidian University, Xi'an, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"12 Sep 2022","2022","15","","7375","7390","Remote sensing image change detection is the key technology for monitoring forest windfall damages. A genetic algorithm (GA) is a branch of intelligent optimization techniques available to contribute to the surveys of windstorm and wildfire detection in forest areas. However, traditional GAs remain challenging due to several issues, such as complex calculation, poor noise immunity, and slow convergence. Analysis at the spatial level allows classifications to utilize the contextual and hierarchical information of image objects in addition to solely using spectral information. In addition, ensemble learning presents a possibility for improving classification accuracy. Ensemble classifiers combined with the spatial-based GA offers a promising method [ensemble spatial–spectral genetic algorithm (E-nGA)] for automating the process of monitoring forest loss. The research in this article is presented in four parts. First, block-matching and 3-D filtering is performed to suppress noises while enhancing valuable information. The difference image is, then, generated using the image difference method. Afterward, context-based saliency detection and fuzzy c-means algorithm are conducted on the difference image to reduce the search space. Finally, the proposed E-nGA is executed to further classify the pixels and produce the final change map. Our first proposition is to design improved genetic operators in the GA, relying not only on pixel values but also on spatial information. Our second proposition is to consider an ensemble classification model based on multiple vegetation features for decision integration. Six frequently used classification methods, as well as the simple GA, are executed to demonstrate the effectiveness of the proposed framework in improving the robustness and detection accuracy.","2151-1535","","10.1109/JSTARS.2022.3199539","National Natural Science Foundation of China(grant numbers:61772397,12005159); Natural Science Basic Research Program of Shaanxi(grant numbers:2021JQ-074); Science Technology and Development Project of Yulin Science and Technology Bureau(grant numbers:CXY-2020-094); Science Foundation for Outstanding Youth of Shaanxi Province(grant numbers:2021JC-23); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9861672","Decision ensemble;forest disaster detection;genetic algorithm (GA);locality window;multispectral;vegetation features","Forestry;Genetic algorithms;Storms;Vegetation mapping;Linear programming;Change detection algorithms;Remote sensing","","8","","56","CCBYNCND","18 Aug 2022","","","IEEE","IEEE Journals"
"Challenges and Future Applications for IRNSS with Machine Learning Algorithms","M. S. Patel; A. Shah","Department of Information Technology, Sankalchand Patel University, Visnagar, Gujarat, India; Department of Big Data Analytics, Adani Institute of Digital Technology Management, Gandhinagar, India",2024 IEEE International Conference on Interdisciplinary Approaches in Technology and Management for Social Innovation (IATMSI),"24 Apr 2024","2024","2","","1","6","The interest in machine learning (ML) research and its potential applications in many fields has also led to several studies on its use in Indian Regional Navigation Satellite Systems (IRNSS). The traditional IRNSS survey algorithms and models are further developed to improve their reliability and efficiency using machine learning techniques. We review how ML can improve the efficiency and usability of IRNSS, and also discuss areas of IRNSS where ML algorithms have been applied. Potential areas of IRNSS where ML can be applied to improve efficiency, accuracy, and robustness are explored, providing fertile ground for new research. The results show reasonable performance of the machine learning techniques for several IRNSS applications. However, the use of ML models in industry is still limited. In addition, we discuss the application areas, challenges, risks, and futures of using ML techniques in IRNSS.","","979-8-3503-6052-3","10.1109/IATMSI60426.2024.10503274","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10503274","IRNS;Remote Sensin;Machine Learning (ML)","Surveys;Technological innovation;Machine learning algorithms;Satellites;Reviews;Space debris;Training data","","","","70","IEEE","24 Apr 2024","","","IEEE","IEEE Conferences"
"Relationship between coastline changes and dynamics of coastal ecosystems of Tahkuna Peninsula, Estonia","A. Anderson; U. Ratas; R. Rivis; V. Palginõmm","Institute of Mathematics and Natural Sciences, Tallinn University, Tallinn, Estonia; Institute of Ecology, Tallinn University, Tallinn, Estonia; Institute of Ecology, Tallinn University, Tallinn, Estonia; Environmental Management Department, Ministry of the Environment, Tallinn, Estonia",2012 IEEE/OES Baltic International Symposium (BALTIC),"16 Aug 2012","2012","","","1","6","The coastal zone as a boundary between sea and mainland is characterized by different landscape types with high biodiversity. Global climate change is one of the most significant factors that is causing changes on coastal area. The climate warming during the last decades has been evident in the Baltic Sea region. The effects of climate change on seacoast can be seen in the changes of sea level, coastal hydrodynamics and ice conditions as well as in human actions. On regional and local level the change of coastal landscape generally depends on shoreline stability. Most vulnerable to erosion are densely populated coastal areas with cities. The coastal erosion is an increasing problem, it also causes reducing and damaging coastal communities including habitats of NATURA 2000. During the last decades, the coastline and morphology of sandy beaches have noticeably changed at Tahkuna Peninsula. Different methods have been used for landscape investigation. Landscape changes were studied by using maps of different periods and analysed with computer programs. Method of landscape complex profile was used as a basis for research. The aim of the study was to find relationships between coastline changes and dynamics of coastal ecosystems. Due to the intensive erosion the study area with habitats of sandy beaches (1210, 1640), embryonic, white, grey dunes (2110, 2120, 2130) has decreased. Repeated surveys in the eastern part of peninsula (Tõrvanina) show the disappearance of a 45-m-wide strip of land during 1976-1998. The eroded deposits are partly transported to the south where the sandy spit is rapidly elongating, there takes place development of new plant communities. Changes along the coast are result of combination of natural processes and human influence (Lehtma harbour). The study area has a high nature conservation and recreational value. Therefore it is essential to continue monitoring and to improve the planning processes in these vulnerable areas.","2150-6035","978-1-4673-1414-5","10.1109/BALTIC.2012.6249189","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6249189","","Sea measurements;Ecosystems;Vegetation;Communities;Soil;Sediments;Storms","","3","","20","IEEE","16 Aug 2012","","","IEEE","IEEE Conferences"
"Fire-Aware Planning of Aerial Trajectories and Ignitions","E. Beachly; C. Detweiler; S. Elbaum; B. Duncan; C. Hildebrandt; D. Twidwell; C. Allen","Computer Science and Engineering Department, University of Nebraska; Computer Science and Engineering Department, University of Nebraska; Computer Science and Engineering Department, University of Nebraska; Computer Science and Engineering Department, University of Nebraska; Computer Science and Engineering Department, University of Nebraska; Department of Agronomy and Horticulture, University of Nebraska; U.S. Geological Survey, Nebraska Cooperative Fish and Wildlife Unit",2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"6 Jan 2019","2018","","","685","692","Prescribed fires can lessen wildfire severity and control invasive species, but they can also be risky and costly. Unmanned aerial systems can reduce those drawbacks by, for example, dropping ignition spheres to ignite the most hazardous areas. Existing systems, however, lack awareness of the fire vectors to operate autonomously, safely, and efficiently. In this work we address that limitation, introducing an approach that integrates a lightweight fire simulator and a planner for trajectories and ignition sphere drop waypoints. Both components are unique in that they are amenable to input from the system's sensors and the fire crew to increase fire awareness. We conducted a preliminary study that confirms that such inputs improve the accuracy of the fire simulation to counter the unpredictability of the target environment. The field study of the system showed that the fire-aware planner generated safe trajectories with effective ignitions leveraging the fire simulator predictions.","2153-0866","978-1-5386-8094-0","10.1109/IROS.2018.8593568","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593568","","Ignition;Robots;Computational modeling;Planning;Sensors;Mathematical model;Trajectory","","13","","21","IEEE","6 Jan 2019","","","IEEE","IEEE Conferences"
"Spatially deconflicted path generation for multiple UAVs in a bounded airspace","M. I. Lizarraga; G. H. Elkaim","Computer Engineering Department, University of California, Santa Cruz, CA; Computer Engineering Department, University of California, Santa Cruz, CA","2008 IEEE/ION Position, Location and Navigation Symposium","3 Sep 2008","2008","","","1213","1218","This paper presents a preliminary framework for generating spatially deconflicted paths for multiple UAVs using Bezier curves. The critical issue addressed is that of guaranteeing that all the paths lie inside a pre-defined airspace volume. Its is shown that Bezier curves reperesent a natural tool for meeting this requirement. The paper reviews the essential properties of the Bezier curves that are used to guarantee spatial deconfliction between the UAV paths as well as airspace volume contsraints. The generated curves are not only non-overlapping but separated by a minimum distance chosen prior to flight. It is then shown that the path generation problem can be formulated as a constrained optimization problem over a finite optimization set and solved using standard MATLAB optimization tools. Simulation results are presented along with its discussion. The paper includes an analysis of numerical solutions obtained as well as discussion of future work.","2153-3598","978-1-4244-1536-6","10.1109/PLANS.2008.4570041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4570041","","Unmanned aerial vehicles;Constraint optimization;MATLAB;Fires;Monitoring;Switches;Path planning;Surveillance;Whales;Interference constraints","","17","1","12","IEEE","3 Sep 2008","","","IEEE","IEEE Conferences"
"Analyzing Swarm Robotics Approaches in Natural Disaster Scenarios: A Comparative Study","A. Hafid; R. Hocine; L. Guezouli","Computer Science Departementn, Faculty of Sciences and Technology, Computer Systems, Laboratory (LAMIE), University of Chahid Mostafa BENBOULAID Batna2, Algeria; Computer Science Departementn, Faculty of Sciences and Technology, Computer Systems, University of Chahid Mostafa BENBOULAID Batna2, Algeria; Computer Science Departementn, Faculty of Sciences and Technology, Computer Systems, Laboratory (LAMIE), University of Chahid Mostafa BENBOULAID Batna2, Algeria",2024 1st International Conference on Innovative and Intelligent Information Technologies (IC3IT),"6 Feb 2025","2024","","","1","6","Natural disasters such as earthquakes, volcanic eruptions, tsunamis, and wildfires pose significant challenges for human intervention due to their unpredictable nature and the hazardous environments they create. In recent years, swarm robotics has emerged as a promising approach to address these challenges. Swarm robots, inspired by the collective behavior observed in nature, operate autonomously and collaboratively, offering unique advantages in disaster scenarios. These robots can rapidly deploy, adapt to dynamic environments, and pro- vide extensive coverage, making them particularly suited for search and rescue missions, environmental monitoring, and infrastructure assessment. This paper presents a comprehensive review and comparative analysis of various approaches utilizing swarm robotics to tackle natural disasters. We explore key methodologies, including decentralized coordination algorithms, communication protocols, and adaptive navigation strategies, and evaluate their effectiveness in real-world disaster scenarios. Through a detailed examination of existing literature and case studies, we highlight the strengths and limitations of each approach, providing insights into their practical applications and potential for future developments. The findings underscore the critical role of swarm robotics in enhancing disaster response capabilities, offering scalable, resilient, and efficient solutions for mitigating the impact of natural disasters. We conclude with recommendations for future research directions aimed at overcoming current limitations and advancing the field toward fully autonomous and reliable swarm-based disaster management systems.","","979-8-3315-4106-4","10.1109/IC3IT63743.2024.10869410","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10869410","Swarm Robotics;Natural Disasters;Autonomous Robots;Collective Behavior;Decentralized Coordination;Resilience;Communication Protocols;Performance;Cost;Adaptability;Coverage","Wildfires;Protocols;Reviews;Navigation;Disasters;Robot kinematics;Swarm robotics;Tsunami;Reliability;Information technology","","1","","25","IEEE","6 Feb 2025","","","IEEE","IEEE Conferences"
"Industry – specific Intelligent Fire Management System: A survey","A. Kalaiarasi.; D. D. Kumar; B. Bharathraj; v. N. Vishak; S. Jasith; L. Raja","Sri shakthi institute of engineering and technology, Coimbatore; Sri Eshwar College of Engineering, Kinathukadavu, Coimbatore; Sri Eshwar College of Engineering, Kinathukadavu, Coimbatore; Sri Eshwar College of Engineering, Kinathukadavu, Coimbatore; Sri Eshwar College of Engineering, Kinathukadavu, Coimbatore; Sri Eshwar College of Engineering, Kinathukadavu, Coimbatore",2023 International Conference on Computer Communication and Informatics (ICCCI),"24 May 2023","2023","","","1","5","This work introduces a fire Management system to track different kinds of fire attacks across industries. While traditional research mostly focuses on creating fire sensing. Fire alarm systems are only useful if they can reliably and quickly send out fire alerts that include the where abouts of the flames the quantity of fire damage and the length of time it takes to respond to different fire alarm systems are directly correlated. The interior environments of public buildings can be complicated and diverse, which makes it important to consider how to safeguard people in the event of a fire and get them to a safe place as fast as possible. Fire extinguishers, fire hydrants,, fire sprinklers, safety exit signals, smoke, fire pumps fire doors and temperature are just a few examples of the types of firefighting equipment that may be dynamically tracked and controlled using the Internet of Things. Recently, a few life-safety systems that integrate a smoke sensor and an alarm device have been created for fire warning and alarm systems. However, these fire alarm systems can make mistakes and respond to erroneous signals that aren’t actually fire signs. High-end, sophisticated fire alarm systems are necessary, and they must use a range of sensor values to identify actual fires, including a signal from smoke detector, heat sensor, and a flame detector.","2473-7577","979-8-3503-4821-7","10.1109/ICCCI56745.2023.10128265","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10128265","Fire attacks;Fire extinguisher;Fire sprinkler;fire pumps;smoke;temperature","Industries;Temperature sensors;Surveys;Fires;Sensors;Safety;Reliability","","2","","21","IEEE","24 May 2023","","","IEEE","IEEE Conferences"
