;22nd congress of the portuguese association of operational research, apdio 2022
;in situ survival of forest bryophytes in small-scale refugia after an intense forest fire
;in-situ observations of mid-latitude forest fire plumes deep in the stratosphere
;incidence of forest fire in india and its effect on terrestrial ecosystem dynamics, nutrient and microbial status of soil
;incorporating a canopy parameterization within a coupled fire-atmosphere model to improve a smoke simulation for a prescribed burn
;incorporating convective feedback in wildfire simulations using pyrogenic potential
;incorporating stochastic wind vectors in wildfire spread prediction
;index sensitivity analysis applied to the canadian forest fire weather index and the mcarthur forest fire danger index
;indian summer monsoon prediction and simulation in cfsv2 coupled model
1;indices for the evaluation of wildfire spread simulations using contemporaneous predictions and observations of burnt area
;indonesian forest fire data clustering using spatiotemporal data using grid density-based clustering algorithm
;industry-specific intelligent fire management system: a survey
;infiltration, runoff and soil loss in andisols affected by forest fire (canary islands, spain)
;influence of forest fire episodes on the distribution of gaseous air pollutants over uttarakhand, india
;influence of uncertainties in burned area estimates on modeled wildland fire pm2.5 and ozone pollution in the contiguous u.s. p g
;influence of wildland fire along a successional gradient in sagebrush steppe and western juniper woodlands
;influences of forest fires on the permafrost environment: a review
;influences of wildfire on the forest ecosystem and climate change: a comprehensive study
;influencing factors, prediction and prevention of depression in college students: a literature review
;information systems in support of wildland fire management decision making in canada
;innovations on the horizon: technology advancements for fire management
;insuring southeast asian commercial forests: fire risk analysis and the potential for use of data in risk pricing and reduction of forest fire risk
;integer programming based on spherical fuzzy ahp and spherical fuzzy topsis for wildfire equipment planning
;integrated fire management as an adaptation and mitigation strategy to altered fire regimes
;integrated national-scale assessment of wildfire risk to human and ecological values
;integrated spatial generalized additive modeling for forest fire prediction: a case study in fujian province, china
;integrated spatio-temporal data mining for forest fire prediction
1;integrated wildfire danger models and factors: a review
;integrated wildfire risk assessment: framework development and application on the lewis and clark national forest in montana, usa
;integrating farsite and gis for enhanced forest fire spread prediction and simulation
;integrating fire behavior models and geospatial analysis for wildland fire risk assessment and fuel management planning
;integrating multi-source remote sensing data for forest fire risk assessment
;integrating system dynamics and fuzzy logic modelling for construction risk management
;integrating technology and environmental policy for effective air quality monitoring in indonesia
;integrating values and risk perceptions into a decision support system
;integration of machine learning into geospatial modelling for forest fire risk assessment in hamirpur district, himachal pradesh (india)
;integration of remote sensing data with bushfire prediction models
;integrative complexity, beliefs, and attitudes: application to prescribed fire
;interactions between resident risk perceptions and wildfire risk mitigation: evidence from simultaneous equations modeling
;interdependencies between flame length and fireline intensity in predicting crown fire initiation and crown scorch height
;interdependencies between flame length and fireline intensity in predicting crown fire initiation and crown scorch height (vol 21, pg 95, 2012)
;interpretable deep one-class model for forest fire detection
;interpreting and using outputs from the canadian forest fire danger rating system in research applications
;inventory analysis of fire effects wrought by wind-driven megafires in relation to weather and pre-fire forest structure in the western cascades
;inverse modelling in wildfire spread forecasting: towards a data-driven system
;investigating forest fire causes through an integrated bayesian network and geographic information system approach
;investigating the performance vs. computational complexity tradeoff in cross-domain fire risk detection
;investigation of forest fire activity changes over the central india domain using satellite observations during 2001-2020
;investigation of general indicators influencing on forest fire and its susceptibility modeling using different data mining techniques
;investigation of wildfire risk and its mapping using gis-integrated ahp method: a case study over hoshangabad forest division in central india
;investigation on the emission of volatile organic compounds from heated vegetation and their potential to cause an accelerating forest fire
;ionospheric perturbations initiated due to the forest-fire over greece as a consequence of lithosphere-atmosphere-ionosphere coupling
;iot based forest fire detection and protection system
;ipsative crystallization effects on wildland fire attitude-policy support models
;is wildland fire increasing in sagebrush landscapes of the western united states?
;island vulnerability and resilience to wildfires: a case study of corsica
;isotopic composition of carbon dioxide from a boreal forest fire: inferring carbon loss from measurements and modeling
;iterated beam search for&nbsp-wildland fire suppression
;iterated local search for the placement of wildland fire suppression resources
;j 2. 4 simulation of wildfire incidents using coupled atmosphere-fire modeling
;jarrah forest fire history from stem analysis and anthropological evidence
;just blowing smoke? residents' social construction of communication about wildfire
;kalman filter-based large-scale wildfire monitoring with a system of uavs
;kernel density change: a new bitemporal lidar metric for directly mapping wildland fire fuel consumption
;kinematic structure of a wildland fire plume observed by doppler lidar
;land cover, more than monthly fire weather, drives fire-size distribution in southern québec forests: implications for fire risk management
;land use and land cover change assessment and future predictions in the matenchose watershed, rift valley basin, using ca-markov simulation
;land use change modeling through an integrated multi-layer perceptron neural network and markov chain analysis (case study: arasbaran region, iran)
;land use planning and bushfire risk: cfa referrals and the february 2009 victorian fire area
;land-use changes in southern appalachian landscapes: spatial analysis and forecast evaluation
;landfire: a nationally consistent vegetation, wildland fire, and fuel assessment
;landsat 8 data for forest fire monitoring: case of mediouna forest in tangier, morocco
;landsat time series and lidar as predictors of live and dead basal area across five bark beetle-affected forests
;landscape controls on fuel moisture variability in fire-prone heathland and peatland landscapes
;landscape fire pm<sub>2.5</sub> and hospital admissions for cause-specific cardiovascular disease in urban china
;landscape fragmentation, severe drought, and the new amazon forest fire regime
;landscape fuel reduction, forest fire, and biophysical linkages to local habitat use and local persistence of fishers (pekania pennanti) in sierra nevada mixed-conifer forests
;landscape identity, before and after a forest fire
;landscape-scale fuel treatment effectiveness: lessons learned from wildland fire case studies in forests of the western united states and great lakes region
;landscape-wildfire interactions in southern europe: implications for landscape management
;large aerosol radiative forcing due to the 1997 indonesian forest fire
;large forest fire spread prediction
;large-scale assessment of antimicrobial resistance marker databases for genetic phenotype prediction: a systematic review
;large-scale fire whirl and forest fire disasters: awareness, implications, and the need for developing preventative methods
;late pleistocene emergence of an anthropogenic fire regime in australia’s tropical savannahs
;late pleistocene montane forest fire return interval estimates from mount kenya
;learning-based prediction of wildfire spread with real-time rate of spread measurement
;learning-based smoke detection for unmanned aerial vehicles applied to forest fire surveillance
;lessons learnt from post-bushfire surveys at the urban interface in australia
;leveraging drone-assisted surveillance for effective forest conservation: a case study in australia’s daintree rainforest
;leveraging extensive soil, vegetation, fire, and land treatment data to inform restoration across the sagebrush biome
;leveraging the next generation of spaceborne earth observations for fuel monitoring and wildland fire management
;leveraging the power of internet of things and artificial intelligence in forest fire prevention, detection, and restoration: a comprehensive survey
;lightning-caused forest fire risk in northwestern ontario, canada, is increasing and associated with anomalies in fire weather
1;limitations on the accuracy of model predictions of wildland fire behaviour: a state-of-the-knowledge overview
;linu-mamba: visual mamba u-net with linear attention to predict wildfire spread
;local-scale fuel-type mapping and fire behavior prediction by employing high-resolution satellite imagery
;long-term climate, vegetation and fire regime change in a managed municipal water supply area, british columbia, canada
;long-term effects of forest fire on habitat use by siamangs in southern sumatra
;long-term forest fire ecology and dynamics in southern switzerland
;long-term growth and water balance predictions for a mountain ash (eucalyptus regnans) forest catchment subject to clear-felling and regeneration
;los alamos forest fire impact modeling
;lstm-based flight trajectory prediction
1;machine learning and deep learning for wildfire spread prediction: a review
;machine learning based wildfire area estimation leveraging weather forecast data
1;machine learning methods for wildfire risk assessment
;machine learning wildfire susceptibility mapping for germany
;machine learning-driven wildfire susceptibility mapping in new south wales, australia using remote sensing and explainable artificial intelligence
;magnetotropic hybrid generator with self-switching mechanism for long-term forest fire prevention
;managing wildfire disasters in the rocky mountains
;mapping and impact of seasonal forest fires on vegetation types, soil dynamics, and tree mortality in the forest ecosystem of uttarakhand himalaya
;mapping erosion risk and selecting sites for simple erosion control measures after a forest fire in mediterranean france
;mapping long-term wildfire dynamics in portugal using trajectory analysis (1975-2024)
;mapping regional forest fire probability using artificial neural network model in a mediterranean forest ecosystem
;mapping the probability of forest fire in the mediterranean region of türkiye using the gis-based fuzzy-ahp method
;mapping the spatial distribution of forest fire danger using gis
;mapping wildfire burned area using gnss-reflectometry in densely vegetated regions with complex topography: a machine learning approach
;mapping wildfire susceptibility with the burn-p3 simulation model
;mathematical modeling of crown forest fire initiation and spread
;mathematical modeling of forest fire initiation
;mathematical modeling of wildland fire initiation and spread
1;mathematical modelling of forest fire-comprehensive review
1;mathematical models and calculation systems for the study of wildland fire behaviour
;maximum entropy-based forest fire likelihood mapping: analysing the trends, distribution, and drivers of forest fires in sikkim himalaya
;measurement of forest fire danger
;measuring acute pulmonary responses to occupational wildland fire smoke exposure using exhaled breath condensate
;measuring the ecological outcomes of fire: metrics to guide fire management
;mental health and traumatic occupational exposure in wildland fire dispatchers
;mesoscale modeling of smoke transport from equatorial southeast asian maritime continent to the philippines: first comparison of ensemble analysis with in situ observations
;meta-analysis of field-saturated hydraulic conductivity recovery following wildland fire: applications for hydrologic model parameterization and resilience assessment
;metagenome analysis of forest fire soil to understand the impact of fire on the diversity of microorganisms
;metaheuristic algorithms for calibration of two-dimensional wildfire spread prediction model
;metaheuristic algorithms in optimizing neural network: a comparative study for forest fire susceptibility mapping in dak nong, vietnam
;meteorological aspects of forest fire danger rating
;methodological foundations of forecasting the spread of diseases in the world (review)
;methodologies for wildland-urban interface (wui) fire risk assessment-case study north-eastern attica region
;methodology and elaboration of model for map of wildfire risk: application of deep learning in the regional forest fire plan for the region of sardinia
1;methods for wildfire spread prediction and their integration with remote sensing data
;microbial biomass and abundance after forest fire in pine forests in japan
;minimize the bad days: wildland fire response and suppression success
;minimum travel time algorithm for fire behavior and burn probability in a parallel computing environment
;missing climate feedbacks in fire models: limitations and uncertainties in fuel loadings and the role of decomposition in fine fuel accumulation
;model comparisons for estimating carbon emissions from north american wildland fire
;model linkage to assess forest disturbance impacts on water quality: a wildfire case study using landis(ii)-velma
;modeling and forecasting the spread of covid-19 with stochastic and deterministic approaches: africa and europe
;modeling fire behaviour and carbon emissions
;modeling forest fire danger from geographic information systems
;modeling information diffusion in online social networks using a modified forest-fire model
;modeling neighborhoods as fuel for wildfire: a review
;modeling of wildfire digital twin: research progress in detection, simulation, and prediction techniques
;modeling post-wildfire hydrologic response: review and future directions for applications of physically based distributed simulation
;modeling remote sensing data relationships with spatiotemporal knowledge graphs
;modeling the dynamics of natural forest ecosystems in the northeast of european russia under climate change and forest fires
;modeling the forest fire risk by incorporating a new human activity factor from nighttime light data
;modeling the interaction between wildfires and windthrows: a pilot case study for italian alps
;modeling the spread of spatio-temporal phenomena through the incorporation of anfis and genetically controlled cellular automata: a case study on forest fire
;modeling the systemic risks of covid-19 on the wildland firefighting workforce
;modeling the&nbsp-forest fire occurrence in&nbsp-some regions of&nbsp-portugal. a&nbsp-first approach
;modeling topographic influences on fuel moisture and fire danger in complex terrain to improve wildland fire management decision support
;modeling vorticity-driven wildfire behavior using near-field techniques
;modeling wildfire dynamics through a physics-based approach incorporating fuel moisture and landscape heterogeneity
;modeling wildfire perimeter evolution using deep neural networks
;modeling wildfire spread with an irregular graph network
;modeling wildfires' spread based on low-cost sensors measuring real-time moisture content
;modeling wildland fire propagation with level set methods
;modeling wildland fire susceptibility using fuzzy systems
;modelling bushfire severity and predicting future trends in australia using remote sensing and machine learning
;modelling decisions concerning the dispatch of airtankers for initial attack on forest fires in ontario, canada
;modelling evacuation decision-making in the 2016 chimney tops 2 fire in gatlinburg, tn
1;modelling natural disturbances in forest ecosystems: a review
;modelling of the radiant heat flux and rate of spread of wildfire within the urban environment
;modelling smoke transport from wildland fires: a review
;modelling spatiotemporal patterns of wildfire risk in the garden route district biodiversity hotspots using analytic hierarchy process in south africa
;modelling the climate factors affecting forest fire in sumatra using random forest and artificial neural network
;modelling the introduction and spread of non-native species: international trade and climate change drive ragweed invasion
;modelling wildfire propagation using the stochastic level-set method
;modelling wildfire spread and spotfire merger using conformal mapping and aaa-least squares methods
1;modelling, monitoring and management of forest fires ii
;modernizing the us national fire danger rating system (version 4): simplified fuel models and improved live and dead fuel moisture calculations
;monsoon-driven teleconnections between holocene fire activity in central asian and neotropical ecosystems
;monsoons: processes, predictability, and the prospects for prediction
;monte carlo estimation of thermal radiation from wildland fires
;monte carlo-based ensemble method for prediction of grassland fire spread
;monthly runoff forecasting based on lstm-alo model
;morphological approach for forest woody debris detection using multi-platform, multi-resolution lidar data
;mountains forest fire spread simulator based on geo-cellular automaton combined with wang zhengfei velocity model
;moving region representations on the spread of a forest fire
;multi-decadal change in western us nighttime vapor pressure deficit
;multi-scale 3d cellular automata modeling: application to wildland fire spread
;multi-scale controls of historical forest-fire regimes: new insights from fire-scar networks
;multi-scale enhancement of climate prediction over land by increasing the model sensitivity to vegetation variability in ec-earth
;multi-scale numerical simulations of the synoptic environment, diablo windstorm, and wildfire formation mechanisms for the tubbs fire (2017)
;multi-source tri-environmental conceptual framework for fire impact analysis
;multi-temporal burned area mapping using logistic regression analysis and change metrics
;multi-uav coverage strategy with v-shaped formation for patrol and surveillance
;multi-view distance metric learning via independent and shared feature subspace with applications to face and forest fire recognition, and remote sensing classification
;multifidelity prediction in wildfire spread simulation: modeling, uncertainty quantification and sensitivity analysis
;multilayered cylindrical triboelectric nanogenerator to harvest kinetic energy of tree branches for monitoring environment condition and forest fire
;multiple social and environmental factors affect wildland fire response of full or less-than-full suppression
;multiscale simulations of complex systems by learning their effective dynamics
;multiscale variation in drought controlled historical forest fire activity in the boreal forests of eastern fennoscandia
;multiwavelength raman lidar observations of particle growth during long-range transport of forest-fire smoke in the free troposphere
1;national fire behaviour prediction system
;navigating the evolving landscape of wildfire management: a systematic review of decision support tools
;near real-time satellite monitoring of russia for forest fire protection
;negative consequences of positive feedbacks in us wildfire management
;neighbourhood bushfire hazard, community risk perception and preparedness in peri-urban hobart, australia
;neural fuzzy system design in forest fire detection
;neural machine-based forecasting of chaotic dynamics
;new forest fire assessment model based on artificial neural network and analytic hierarchy process or fuzzy-analytic hierarchy process methodology for fire vulnerability map
;next-generation ai for firefighter hazard prediction: exploring bert and doc2vec to advance safety and risk intelligence
;non-native plant invasion after fire in western usa varies by functional type and with climate
;notice of retraction: tourist aesthetic assessment and conserved management mode of natural heritage sites: a case study in the kanas nature reserve, xinjiang, china
;novel method for a posteriori uncertainty quantification in wildland fire spread simulation
;numerical modeling of forest fire initiation and spread
;numerical simulation of forest fires
;obama administration outlines new strategy for wildfire season
;observations and impacts of long-range transported wildfire smoke on air quality across new york state during july 2021
;observations of boreal forest fire smoke in the stratosphere by poam iii, sage ii, and lidar in 1998
;observations of damage of a secondary nature following a wild fire at the otterford state forest
;observed dimming effect during a forest fire in the southeastern united states and the role of aerosols
;observed impacts of anthropogenic climate change on wildfire in california
;observer network and forest fire detection
;on a wildland fire model with radiation
;on elliptical model for forest fire spread modeling and simulation
;on the need for a theory of wildland fire spread
;on the prediction of rare events when sampling from large data
;on the suitability of the use of normalized difference vegetation index for forest fire risk assessment
;on using dynamical seasonal forecasts to develop management-driven wildland fire outlooks in alaska
;ontology-based forest fire management using complex event processing and&#xa0-large language models
;ontology-based forest fire management using complex event processing and&nbsp-large language models
;ontology-based modelling and reasoning for forest fire emergencies in resilient societies
;operational application of mathematical modeling for enhanced wildfire risk management in liguria
;operational forest-fire spread forecasting using the wrf-sfire model
;operational wildfire suppression modelling: a review evaluating development, state of the art and future directions
;optimal cross-validation strategies for selection of spatial interpolation models for the canadian forest fire weather index system
;optimization models of uav route planning for forest fire monitoring
;optimization of the resources management in fighting wildfires
;optimizing forest fire prevention: intelligent scheduling algorithms for drone-based surveillance system
1;overview of forest fire propagation research
;parameters of the laboratory model terrestrial forest fire created from the needles of pine (pinus nigra)
;parametric model order reduction for a wildland fire model via the shifted pod-based deep learning method
;parametric model order reduction for a wildland fire model via the shifted pod-based deep learning method: parametric model order reduction for a wildland fire model
;particulate pb emission factors from wildland fires in the united states
;passive sampling of atmospheric polycyclic aromatic hydrocarbons by silicone wristbands during wildland fires
;past and future changes in canadian boreal wildfire activity
;patchwise dictionary learning for video forest fire smoke detection in wavelet domain
;pathways for climate change effects on fire: models, data, and uncertainties
;patterns of long-term regeneration of forest fire slopes in the northern european alps-a logistic regression approach
;paying attention to wildfire: using u-net with attention blocks on multimodal data for next day prediction
;pde solution to uav/ugv trajectory planning problem by spatio-temporal estimation during wildfires
;peatland-fire interactions: a review of wildland fire feedbacks and interactions in canadian boreal peatlands
;performance evaluation of lorawan forest fire monitoring network in the wild
;performance metrics in supply chain management
;performance study of wireless sensor and actuator networks in forest fire scenarios
;pervasive shifts in forest dynamics in a changing world
;phoenix: development and application of a bushfire risk management tool
;phragmites-fire feedbacks: the influence of fire and disturbance-altered hydrology on the abundance of <i>phragmites australis</i>
;physical employment standard for canadian wildland fire fighters-developing and validating the test protocol
;physical employment standard for canadian wildland fire fighters-identifying and characterising critical initial attack response tasks
;physical model of wildland fire spread: parametric uncertainty analysis
;physical phenomena and length scales governing the behaviour of wildfires: a case for physical modelling
;physics-informed neural networks for parameter learning of wildfire spreading
;plant and soil responses to biosolids application following forest fire
;please scroll down for article journal of spatial science an assessment of fire-damaged forest using spatial analysis techniques an assessment of fire-damaged forest using spatial analysis techniques
;policies for advancing forest fire management practices and adaptation strategies concerning climate change
;post-conquest vegetation and fire dynamics at laguna carse, costa rica: a pollen and microscopic charcoal record
;post-fire damage assessment of buildings at the wildland urban interface
;post-fire delayed tree mortality in mesic coniferous forests reduces fire refugia and seed sources
;post-fire forest recovery at high latitudes: tree regeneration dominated by fire-adapted, early-seral species increases with latitude
;post-fire recovery dynamics and resilience of ecosystem services capacity in mediterranean-type ecosystems
;post-fire restoration plan for sustainable forest management
;post-fire temporal dynamics of plant-pollinator communities in a tropical savanna
;potential changes in forest composition could reduce impacts of climate change on boreal wildfires
;power grid resilience under wildfire: a review on challenges and solutions
;practitioner perceptions of wildland fire management across south europe and latin america
;practitioner perceptions ofwildland fire management across south europe and latin america
;pre-ignition wildfire burn severity modeling with polarimetric uavsar data and machine learning
;predicted changes in fire weather suggest increases in lightning fire initiation and future area burned in the mixedwood boreal forest
;predicting climate change effects on wildfires requires linking processes across scales
;predicting crown fire behavior to support forest fire management decision-making
;predicting ecosystem dynamics at regional scales: an evaluation of a terrestrial biosphere model for the forests of northeastern north america
;predicting fire propagation across heterogeneous landscapes using wyofire: a monte carlo-driven wildfire model
;predicting fire spread and behaviour on the fireline. wildfire analyst pocket: a mobile app for wildland fire prediction
;predicting rare events using training data from stratified sampling designs, with application to human-caused wildfire prediction
;predicting the arrival of the unpredictable: an approach for foreseeing the transition to chaos of wildfire propagation
1;predicting the future of forest fires: climate models, fire behavior and fire spread
;predicting the occurrence of forest fire in the central-south region of china
;predicting the rate of forest fire spread toward any directions based on a cnn model considering the correlations of input variables
;predicting the rate of spread of mixed-fuel surface fires in northeastern china using the rothermel wildfire behaviour model: a laboratory study
;predicting the wildland fire spread using a mixed-input cnn model with both channel and spatial attention mechanisms
;predicting wildfire induced changes to runoff: a review and synthesis of modeling approaches
;predicting wildfire spread and behaviour in mediterranean landscapes
;predicting wildfire spread with machine learning and a socio-ecological approach to identify areas of high vulnerability
;predicting wildland fire behavior and emissions using a fine-scale physical model
;prediction and mapping of boreal forest fire fuel loads using high-resolution satellite stereo imagery
;prediction capability of the mcda-ahp model in wildfire risk zonation of a protected area in the southern western ghats
;prediction modelling of riverine landscape dynamics in the context of sustainable management of floodplain: a geospatial approach
;prediction models for public health containment measures on covid-19 using artificial intelligence and machine learning: a systematic review
;prediction of fire spread in grasslands using deep learning techniques
;prediction of forest fire risk for artillery military training using weighted support vector machine for imbalanced data
;prediction of forest fire spread rate using uav images and an lstm model considering the interaction between fire and wind
;prediction of global spread of covid-19 pandemic: a review and research challenges
;prediction of wildfire fuel load for pinus densiflora stands in south korea based on the forest-growth model
;prediction of wildfire occurrence in the southern forest regions of china in the future scenario
;prediction of wildfire rate of spread in grasslands using machine learning methods
;prediction of wildfire spread and propagation algorithm for disaster area
;predictors of south-eastern australian householders' strengths of intentions to self-evacuate if a wildfire threatens: two theoretical models
;preferred vector machine for forest fire detection
;pregnancy exposure to pm2.5 from wildland fire smoke and preterm birth in california
;preliminary results from a survey of u.s. forest service wildfire managers' attitudes toward aviation personnel exposure and risk
;preparation and physicochemical properties of inorganic solidified foam for forest fire
;prescribed fire in longleaf pine ecosystems: fire managers’ perspectives on priorities, constraints, and future prospects
;prescribed fire promotes colonization by the florida bog frog
;prescribed grass fire mapping and rate of spread measurement using nir images from a small fixed-wing uas
;preventing human-caused wildfire ignitions on public lands: a review of best practices
;prioritizing the right to environment: enhancing forest fire detection and prevention through satellite data and machine learning algorithms for early warning systems
;probabilistic fire spread forecast as a management tool in an operational setting
;probability and spatiotemporal dynamics of active fire occurrence in inner mongolia, china from 2000 to 2022
;progress and prospects for predicting wildfire spread through the wildland-urban interface
;progress towards and barriers to implementation of a risk framework for us federal wildland fire policy and decision making
;projected changes in reference evapotranspiration in california and nevada: implications for drought and wildland fire danger
;proposal for theoretical improvement of semi-physical forest fire spread models thanks to a multiphase approach: application to a fire spread model across a fuel bed
;prototyping a geospatial atlas for wildfire planning and management
;psychological differences between south-eastern australian householders' who intend to leave if threatened by a wildfire and those who intend to stay and defend
;psychological factors and social processes influencing wildfire smoke protective behavior: insights from a case study in northern california
;pulsed redistribution of a contaminant following forest fire
;pyroaerobiology: the aerosolization and transport of viable microbial life by wildland fire
;pyros: a raster-vector spatial simulation model for predicting wildland surface fire spread and growth
;pyroscan: wildfire behavior prediction system using unmanned aerial vehicles (uav)
;quail on fire: changing fire regimes may benefit mountain quail in fire-adapted forests
;quantifying 25 years of disease-caused declines in tasmanian devil populations: host density drives spatial pathogen spread
;quantifying streamflow forecast skill elasticity to initial condition and climate prediction skill
;quantifying wildland fire resources deployed during the compound threat of covid-19
;quantitative framework for soil burn severity from numerical wildfire models
;queries optimised llm-empowered active learning for&nbsp-social media analysis of&nbsp-human behaviour in&nbsp-bushfire evacuations
;radiomics for identification and prediction in metastatic prostate cancer: a review of studies
;radiomics-based prediction for tumour spread through air spaces in stage i lung adenocarcinoma using machine learning
1;random set models of fire spread
;rapid growth of large forest fires drives the exponential response of annual forest-fire area to aridity in the western united states
;rapid prediction of wildfire spread using ensemble kalman filter and polyline simplification
;rapid spaceborne mapping of wildfire retardant drops for active wildfire management
;real time monitoring of forest fires and wildfire spread prediction
;real-time 3d visualization of forest fire spread based on tree morphology and finite state machine
;real-time active fire detection in the pantanal biome, brazil, using convolutional neural networks
;real-time avhrr forest fire detection in mexico (1998-2000)
;real-time fire segmentation via active contours for uav integrated wildfire propagation prediction
;real-time forest fire detection, monitoring, and mitigation to safeguard humanity using yolo and federated learning
;real-time genetic spatial optimization to improve forest fire spread forecasting in high-performance computing environments
;real-time numerical forecast of global epidemic spreading: case study of 2009 a/h1n1pdm
;real-time verification of solar-powered forest fire detection system using ensemble learning
;reassessing the validity of as3959 in the presence of dynamic bushfire propagation
;recent advances and applications of wrf-sfire
;reconstructing modes of destruction in wildland-urban interface fires using a semi-physical level-set model
;reconstructing the history of forest fire frequency: identifying hazard rate change points using the bayes information criterion
;recovery of mediterranean vegetation after recurrent forest fires: insight from the 2010 forest fire on mount carmel, israel
;recurrent convolutional deep neural networks for modeling time-resolved wildfire spread behavior
;reframing wildfire simulations for understanding complex human-landscape interactions in cross-cultural contexts: a case study from northern australia
;regional fire-greening positive feedback loops in alaskan arctic tundra
;relationship between coastline changes and dynamics of coastal ecosystems of tahkuna peninsula, estonia
;reliability assessment of photovoltaic wireless sensor networks for forest fire propagation detection
;reliability of fire danger forecasts for czech agricultural and forestry landscapes
;relieving uncertainty in forest fire spread prediction by exploiting multicore architectures
;remote sensing ai for&nbsp-crop planting in&nbsp-wildfire fuel mapping
;remote sensing applications for operational decision making at local scales: current status and future opportunities for agriculture and disaster management applications
;remote sensing for assessing the impact of forest fire severity on ecological and socio-economic activities in kozan district, turkey
;renormalization group approach to the critical behavior of the forest-fire model
;representation and evaluation of wildfire propagation simulations
;representing 3-dimensional fuels for physics-based fire behavior models: a general framework and case study in a type-converted post-fire shrubfield
;requirements for space-based observations in fire management: a report by the wildland fire hazard team, committee on earth observation satellites (ceos) disaster management support group (dmsg)
;research and implementation of forest fire smoke detection based on resnet transfer learning
;research of yunnan satellite forest fire monitoring hotspot classification early warning model
;research on deep learning models for dehazing wildfire images
;research on forest fire point image recognition of agricultural and forestry satellites based on the frjli algorithm
;research on forest fire target detection and tracking based on drones
;research progress and hotspot evolution analysis of wildfire disasters in national park communities
;research progress of forest fires spread trend forecasting in heilongjiang province
1;research trends in wildland fire prediction amidst climate change: a comprehensive bibliometric analysis
;resiliency assessment and enhancement of renewable dominated edge of grid under high-impact low-probability events-a review
;resource location and relocation models with rolling horizon forecasting for wildland fire planning
;respiratory impacts of wildland fire smoke: future challenges and policy opportunities an official american thoracic society workshop report
;response of vulnerable karst forest ecosystems under different fire severities in the northern dinaric karst mountains (slovenia)
;response time assessment in forest fire spread simulation: an integrated methodology for efficient exploitation of available prediction time
;rethinking the focus on forest fires in federal wildland fire management: landscape patterns and trends of non-forest and forest burned area
1;rethinking the wildland fire management system
;review and perspectives of digital twin systems for wildland fire management
;review of fuel treatment effects on fuels, fire behavior and ecological resilience in sagebrush (<i>artemisia</i> spp.) ecosystems in the western u.s
;review of pathways for building fire spread in the wildland urban interface part i: exposure conditions
1;review of state-of-the-art decision support systems (dsss) for prevention and suppression of forest fires
;review of the forest fire model for high explosives
;review of the health effects of wildland fire smoke on wildland firefighters and the public
;review of thermal behaviour of firebrands and their role in fuel bed and structure ignition
;review of user's needs in operational fire danger estimation: the oklahoma example
;review of users' needs in operational fire danger estimation: the oklahoma example
;review of vortices in wildland fire
1;review of wildfire detection, fighting, and technologies: future prospects and insights
1;review of wildfire management techniques-part i: causes, prevention, detection, suppression, and data analytics
;review of wildfire modeling considering effects on land surfaces
;review on forest fires detection and prediction using deep learning and drones
;risk analysis model that uses machine learning to predict the likelihood of a fire occurring at a given property
;risk assessment for effective prevention and management of forest fires in lijiang city
;robust prediction of wildfire spread in australia
;role of buoyant flame dynamics in wildfire spread
;role of flow topology in wind-driven wildfire propagation
;role of forensic anthropology in the search and recovery of fatal wildland fire victims
;role of local community in the forest fire prevention and management: insights from uttarakhand state
;roles of fire in the plant communities of the eastern edwards plateau of texas
;rumor propagation: a state-of-the-art survey of current challenges and opportunities
;satellite and ground-based study of optical properties of 1997 indonesian forest fire aerosols
;satellite constellation design for forest fire monitoring via a stochastic programing approach
;satellite image segmentation for forest fire risk detection using gaussian mixture models
;satellite limb observations of unprecedented forest fire aerosol in the stratosphere
;satellite-based ensemble intelligent approach for predicting forest fire: a case of the hyrcanian forest in iran
;satellite-based forest fire detection for fire control in boreal forests
;scalability of a multi-physics system for forest fire spread prediction in multi-core platforms
;scattering coefficient and participate matter concentration in forest fire smoke
;science basis for changing forest structure to modify wildfire behavior and severity
;science, technology, and human factors in fire danger rating: the canadian experience
;sea-hazemon: active haze monitoring and forest fire detection platform
;seasonal weather and climate prediction over area burned in grasslands of northeast china
;seasonal weather forecasts for crop yield modelling in europe
;secure, autonomous, intelligent controller for integrating distributed emergency response satellite operations
;seizure detection using machine learning and monitoring through iot devices
;self-autonomous wireless sensor nodes with wind energy harvesting for remote sensing of wind-driven wildfire spread
;self-destructive percolation as a limit of forest-fire models on regular rooted trees
;self-organized critical forest-fire model
;semi-supervised classification and&nbsp-segmentation of&nbsp-forest fire using autoencoders
;sensitivity analysis and parameter adjustment in a simplified physical wildland fire model
;sensitivity of atypical lateral fire spread to wind and slope
;sensitivity of burned area and fire radiative power predictions to containment efforts, fuel density, and fuel moisture using wrf-fire
;sensitivity simulations of the 30 march 2020 xichang wildfire in southwest china based on the wrf-fire model
;sensitivity to the representation of wind for wildfire rate of spread: case studies with the community fire behavior model
;service-learning to improve training, knowledge transfer, and awareness in forest fire management
;setting wildfire evacuation triggers by coupling fire and traffic simulation models: a spatiotemporal gis approach
;shapley-based interpretation of deep learning models for wildfire spread rate prediction
;shift reduce parser based malicious sensor detection for predicting forest fire in wsns
;short to long-term forecasting of river flows by heuristic optimization algorithms hybridized with anfis
;short-term changes in summer and winter resident bird communities following a high severity wildfire in a southern usa mixed pine/hardwood forest
;short-term fire front spread prediction using inverse modelling and airborne infrared images
;short-term load forecasting
